# Reference: https://ds.data.jma.go.jp/gmd/wdcgg/cgi-bin/wdcgg/download.cgi?index=CGO540S00-AGAGE&param=200612120243&select=inventory 
time,CH4,SD
2012-01-01 00:00,1750.502,8.059 
2012-02-01 00:00,1747.994,11.369 
2012-03-01 00:00,1750.135,12.096 
2012-04-01 00:00,1756.765,12.034 
2012-05-01 00:00,1761.913,9.170 
2012-06-01 00:00,1767.984,7.913 
2012-07-01 00:00,1780.308,14.174 
2012-08-01 00:00,1780.679,11.665 
2012-09-01 00:00,1782.695,12.866 
2012-10-01 00:00,1782.714,14.210 
2012-11-01 00:00,1773.521,7.406 
2012-12-01 00:00,1765.040,10.191 
2013-01-01 00:00,1755.139,10.324 
2013-02-01 00:00,1748.748,5.182 
2013-03-01 00:00,1756.348,17.810 
2013-04-01 00:00,1756.327,6.190 
2013-05-01 00:00,1773.603,17.222 
2013-06-01 00:00,1774.204,8.850 
2013-07-01 00:00,1783.974,12.754 
2013-08-01 00:00,1782.873,7.815 
2013-09-01 00:00,1785.061,7.589 
2013-10-01 00:00,1783.364,9.592 
2013-11-01 00:00,1778.930,10.695 
2013-12-01 00:00,1766.455,6.648 
2014-01-01 00:00,1761.441,11.301 
2014-02-01 00:00,1756.045,9.417 
2014-03-01 00:00,1761.561,13.160 
2014-04-01 00:00,1769.674,15.554 
2014-05-01 00:00,1782.008,17.853 
2014-06-01 00:00,1787.046,13.787 
2014-07-01 00:00,1794.062,10.009 
2014-08-01 00:00,1797.105,12.279 
2014-09-01 00:00,1798.905,15.421 
2014-10-01 00:00,1794.696,10.495 
2014-11-01 00:00,1789.949,10.383 
2014-12-01 00:00,1779.964,6.739 
2015-01-01 00:00,1772.275,7.524 
2015-02-01 00:00,1766.926,5.508 
2015-03-01 00:00,1769.991,9.604 
2015-04-01 00:00,1778.054,13.717 
2015-05-01 00:00,1789.046,21.296 
2015-06-01 00:00,1795.089,13.948 
2015-07-01 00:00,1803.272,14.639 
2015-08-01 00:00,1803.471,7.637 
2015-09-01 00:00,1807.701,12.423 
2015-10-01 00:00,1807.938,13.803 
2015-11-01 00:00,1799.240,11.536 
2015-12-01 00:00,1791.267,6.689 
2016-01-01 00:00,1787.225,49.954 
2016-02-01 00:00,1780.367,27.304 
2016-03-01 00:00,1778.336,5.541 
2016-04-01 00:00,1792.813,22.500 
2016-05-01 00:00,1793.246,10.337 
2016-06-01 00:00,1801.131,8.846 
2016-07-01 00:00,1807.265,10.025 
2016-08-01 00:00,1812.349,10.888 
2016-09-01 00:00,1815.157,13.459 

